user,minutes_on_platform,num_actions
3515500,29.97307580678562,29
3515501,44.90068995898826,29
3515502,50.465195483435885,21
3515503,53.56916861817784,38
3515504,57.083109382147626,23
3515505,55.21084679056876,31
3515506,40.01428038326819,26
3515507,48.8890697045765,30
3515508,42.890939094538695,31
3515509,52.236133808727864,31
3515510,57.199390645448574,20
3515511,55.330239198490254,30
3515512,55.815084815810195,26
3515513,58.46990710359972,30
3515514,52.711737914359865,37
3515515,39.42141078367713,26
3515516,48.237984156383604,36
3515517,53.70114735135738,26
3515518,43.10971191234527,25
3515519,56.579023671893964,29
3515520,54.53329291202279,32
3515521,49.35014129556792,23
3515522,32.6645372050798,29
3515523,44.33716392949815,33
3515524,55.78262232326869,28
3515525,56.462813109236954,23
3515526,40.509377134140045,37
3515527,51.80738265463265,29
3515528,51.93913024516044,30
3515529,51.22179625852007,23
3515530,45.95420850993548,31
3515531,47.25049579141157,23
3515532,43.34725491761675,34
3515533,66.54214430342006,34
3515534,61.37515026402334,33
3515535,51.31995789036651,28
3515536,58.091431294039566,29
3515537,51.47661600030142,27
3515538,44.95009579399081,25
3515539,47.99308328735419,39
3515540,48.46142569779915,26
3515541,47.2275088557348,32
3515542,55.85291600861417,23
3515543,66.27079065065556,20
3515544,56.59341648354308,28
3515545,65.96287626840902,34
3515546,41.0214284344229,28
3515547,47.451728895318396,28
3515548,44.28730197713978,21
3515549,28.58174755107121,29
3515550,52.46868990898254,15
3515551,55.19265945306153,28
3515552,42.65100512861688,31
3515553,51.831868623401355,20
3515554,48.79155806078422,25
3515555,49.19599733391252,37
3515556,43.62298516878252,21
3515557,52.714033743262036,32
3515558,53.13647226083694,37
3515559,48.17420388816561,38
3515560,50.013640294209914,34
3515561,45.27548904898842,34
3515562,46.70543734615214,21
3515563,34.037509382715484,26
3515564,61.6332134465648,27
3515565,31.687830605584143,25
3515566,48.54879465510084,37
3515567,65.55727114735143,26
3515568,31.763354008667754,35
3515569,47.60636330906186,27
3515570,46.744402138798264,23
3515571,38.82662824834324,37
3515572,51.616826178516014,37
3515573,49.63361293549734,26
3515574,50.10026983102295,31
3515575,48.50955558903693,30
3515576,49.93146446127001,34
