user,minutes_on_platform,num_actions
3507000,48.66881566213821,27
3507001,60.44377513919479,27
3507002,52.8435289456051,31
3507003,53.47970494390151,36
3507004,57.617402713112746,19
3507005,53.77040327128594,32
3507006,41.671689124012765,26
3507007,60.218847650923735,36
3507008,46.449487136611964,42
3507009,32.899462755137165,28
3507010,36.40462417038349,34
3507011,55.78728068709859,33
3507012,50.46274225001418,34
3507013,56.12321620870739,37
3507014,62.38336440386362,35
3507015,55.385526760311635,29
3507016,57.19192457811006,33
3507017,56.12704773383803,36
3507018,51.1646223139268,34
3507019,51.97715028628046,30
3507020,48.47249320378937,34
3507021,43.05841486997197,35
3507022,46.898400079756314,28
3507023,57.47103369352527,26
3507024,53.21898913224812,27
3507025,39.94054561077592,30
3507026,46.14359559228253,18
3507027,45.036150756199326,35
3507028,43.579313626134564,30
3507029,64.9707076213786,37
3507030,54.40258137438834,24
3507031,63.5414632985665,23
3507032,64.67528178156654,41
3507033,51.66559384152484,30
3507034,52.574642612806684,28
3507035,49.84869032730938,39
3507036,61.313644252262534,43
3507037,40.88037292878543,23
3507038,47.78829323325361,34
3507039,47.8055660776576,35
3507040,50.14632376579671,25
3507041,55.065151262884626,31
3507042,46.04956212775928,28
3507043,53.01145003993268,33
3507044,41.634333144631654,29
3507045,51.827243447563845,35
3507046,56.95586130419703,28
3507047,50.16349676586795,28
3507048,64.54625057264613,22
3507049,43.4571827152487,30
3507050,42.58526840589742,47
3507051,47.77740960905175,22
3507052,56.6146169061946,36
3507053,49.170842715887154,27
3507054,45.12928801924186,35
3507055,52.40206927293469,33
3507056,56.544114935110414,31
3507057,45.272641540036055,27
3507058,50.86999234168526,37
3507059,43.51615581849424,24
3507060,48.73508361007475,28
3507061,44.435667228546805,39
3507062,60.56133725164986,29
3507063,46.2376363554723,24
3507064,38.56784085331245,24
3507065,47.654908282629,28
3507066,49.95413998230555,30
3507067,56.5664253022169,30
3507068,50.522772417020484,37
3507069,49.3950272725467,38
3507070,48.15956870571134,30
3507071,43.48061011908349,34
3507072,54.56535083815196,40
3507073,43.45314569817055,36
3507074,42.34772892180809,34
3507075,48.02755860086979,31
3507076,46.594615397040606,38
3507077,60.771645122855894,40
3507078,45.18160752761896,26
3507079,42.43128582943483,33
3507080,43.968816062752865,30
3507081,51.53562818817461,34
3507082,47.51159838615205,31
3507083,46.29290439035781,23
3507084,41.608832450004954,35
3507085,40.417391474303024,41
3507086,52.59228994678645,18
3507087,58.40927064232534,32
3507088,51.25970264105149,32
3507089,45.241735542497125,28
3507090,57.127915555296205,26
3507091,58.27977414814151,25
3507092,54.9584280522077,29
3507093,48.92926350467826,35
3507094,51.50277071822128,27
3507095,54.40483086965008,38
3507096,54.90827520236405,33
3507097,50.96486732813771,35
3507098,42.27463032922341,26
3507099,50.801280025110316,35
3507100,39.722405754550856,34
3507101,50.69660926562506,35
3507102,46.11861304322344,28
3507103,52.39223796532469,29
3507104,57.18536181301467,35
3507105,48.72853032984462,31
3507106,48.52824815817306,32
3507107,47.40286611299175,28
3507108,54.70140228244868,31
3507109,53.19307246147151,34
3507110,52.209065868894754,32
3507111,60.67619836770437,27
3507112,46.10674748965103,30
3507113,46.923901537865355,29
3507114,55.33552326553517,30
3507115,49.626967014452305,28
3507116,49.35647894383346,36
3507117,44.218883637381225,41
3507118,56.20515278958306,30
3507119,36.19564855813816,25
3507120,49.493547181980034,23
3507121,49.85536640843357,27
3507122,58.667621043063214,40
3507123,52.42607013896747,30
3507124,42.407614132294825,36
3507125,37.52943801567678,30
3507126,51.40788243069014,35
3507127,39.586342092350755,29
3507128,46.40266780820195,36
3507129,52.08145419935242,37
3507130,54.85327102504952,25
3507131,54.47625792308613,34
3507132,49.93950289877565,34
3507133,50.47917785000458,35
3507134,60.345564173298584,30
3507135,45.26928563731295,32
3507136,46.89577253933623,37
3507137,48.63494534720667,30
3507138,45.10617680453094,23
3507139,59.368990034852914,27
3507140,45.89853227204797,27
3507141,55.11524103186414,33
3507142,43.10199112545114,37
3507143,53.49710839865072,25
3507144,58.90539043724277,41
3507145,48.56416472510045,27
3507146,51.93179792034489,29
3507147,58.5321421170422,29
3507148,53.022285545830236,32
3507149,39.005202929223444,37
3507150,48.09036805667596,37
3507151,62.157696729095164,34
3507152,59.771964613262206,31
3507153,58.0756723373303,24
3507154,47.88289165352422,15
3507155,61.02615365591215,28
3507156,50.563654272180074,27
3507157,43.81030625198062,32
3507158,52.33708011977183,21
3507159,46.2303792650969,28
3507160,54.20561028647031,28
3507161,49.679495865495696,30
3507162,39.02166976081461,27
3507163,46.81977325120421,35
3507164,45.259606325971305,41
3507165,49.495567285180755,23
3507166,54.17068383004515,32
3507167,43.576396852438535,30
3507168,54.44229296313226,39
3507169,54.071086665109554,30
3507170,54.52694683477899,36
3507171,48.37270162008678,23
3507172,50.295846697624285,27
3507173,36.97679819200914,33
3507174,49.40159248343087,36
3507175,43.02829727675214,28
3507176,46.67224856055005,32
3507177,55.65672176397879,33
3507178,41.63165449035171,34
3507179,59.06531819611657,34
3507180,58.30691107823438,36
3507181,45.027620616220766,33
3507182,56.949388775232215,31
3507183,48.517675244323414,31
3507184,45.9239912959186,38
3507185,49.51093244968947,41
3507186,54.09660013160496,30
3507187,56.82092830716818,26
3507188,59.98118285871368,30
3507189,48.641969262460684,35
3507190,51.086667418008076,29
3507191,48.31247085887929,41
3507192,50.887051908445486,33
3507193,50.972736664078745,42
3507194,39.68104391256266,39
3507195,45.46479682056184,37
3507196,38.939744447909135,35
3507197,37.662506828794704,30
3507198,39.9928844586222,24
3507199,50.220595914479645,23
3507200,51.24902749069088,37
3507201,60.53282184763053,33
3507202,48.83518047967512,30
3507203,39.41407147949604,31
3507204,40.06012645132439,31
3507205,39.178843340216005,19
3507206,58.06814576252098,32
3507207,50.17498991511124,32
3507208,51.76491978817131,29
3507209,44.12554952912504,25
3507210,58.12254011241567,41
3507211,47.21997477761468,18
3507212,49.12089035867024,37
3507213,50.525873954046126,44
3507214,43.1688911014951,32
3507215,60.0576905394532,25
3507216,52.54490406824984,30
3507217,44.36403973768013,26
3507218,58.299459874567575,31
3507219,41.822058613838365,29
3507220,57.9132616215144,39
3507221,48.357420185015535,28
3507222,43.49346289503902,28
3507223,50.08817343037158,22
3507224,38.12987023300361,31
3507225,53.88841032634165,30
3507226,43.957874041036874,28
3507227,56.74578522466262,24
3507228,44.98318044888945,31
3507229,41.646157744621135,29
3507230,43.521502034169,28
3507231,47.66078123991485,36
3507232,47.550901458834126,29
3507233,47.404102639824536,30
3507234,45.88341098329215,25
3507235,46.65640793639803,24
3507236,43.10382452210615,22
3507237,55.950183158899364,39
3507238,46.600838712714825,30
3507239,35.24846250235763,41
3507240,47.216897905345284,30
3507241,49.88193816450982,34
3507242,46.942740928653315,36
3507243,38.95630045699845,24
3507244,42.491852297432914,35
3507245,44.21818502339341,17
3507246,47.84733178221425,29
3507247,53.89898857284985,39
3507248,57.834869418540904,38
3507249,51.79725536712151,51
3507250,58.32683635099515,20
3507251,49.247541401490686,33
3507252,47.66860909427144,30
3507253,59.27893162912699,27
3507254,45.76394061985773,31
3507255,42.52700169451974,24
3507256,45.30975126391712,23
3507257,61.211583799334804,31
3507258,44.23716433904552,30
